                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3199,                 1.2474,                 1.2185,                0.73307,                0.71964,                0.76766,                0.37227,                 1.3717,                  2.522,                 1.3385,               0.072676,              0.0031681,              0.0031681
                      2,                 1.2392,                0.83019,                 1.1848,                0.71184,                0.71335,                0.77688,                0.42796,                 1.3659,                 1.7079,                 1.3684,                0.04443,               0.005741,               0.005741
                      3,                 1.1728,                0.74581,                 1.1483,                0.49313,                0.53476,                0.54888,                0.24078,                 1.4949,                 2.7926,                 1.4954,                0.01555,              0.0076814,              0.0076814
                      4,                 1.1327,                0.69307,                  1.139,                0.95883,                0.96257,                0.98208,                0.66387,                 1.0266,                0.65889,                 1.0875,              0.0073112,              0.0073112,              0.0073112
                      5,                 1.0985,                0.66837,                  1.112,                0.97107,                 0.8976,                0.96103,                0.65686,                0.98816,                 0.7797,                 1.0754,              0.0073112,              0.0073112,              0.0073112
                      6,                 1.0368,                0.64793,                 1.1061,                0.98513,                0.97861,                0.99376,                0.72604,                0.89603,                0.54343,                 1.0283,               0.006285,               0.006285,               0.006285
                      7,                0.97999,                0.56335,                 1.0628,                0.98326,                0.98396,                0.99384,                0.73438,                0.89355,                 0.4832,                 1.0057,              0.0052587,              0.0052587,              0.0052587
                      8,                 0.9556,                0.54515,                 1.0445,                0.95093,                 0.9893,                0.99237,                0.73556,                0.90086,                0.49394,                 1.0098,              0.0042324,              0.0042324,              0.0042324
                      9,                0.91727,                0.50554,                 1.0203,                 0.9893,                0.98877,                0.99452,                0.78614,                0.79209,                0.42784,                0.96372,              0.0032062,              0.0032062,              0.0032062
                     10,                0.89432,                0.47915,                 1.0112,                0.98857,                0.99465,                0.99409,                0.76798,                0.79859,                0.41515,                0.96642,              0.0021799,              0.0021799,              0.0021799
