                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3828,                 1.1748,                 1.1083,                0.20641,                0.56684,                0.35103,                0.13742,                 2.0849,                 28.101,                 2.4016,               0.072859,               0.003351,               0.003351
                      2,                 1.3831,                0.84928,                  1.119,                0.44214,                 0.8877,                0.82743,                0.42817,                 1.5402,                 9.7665,                 1.2619,               0.044759,              0.0060707,              0.0060707
                      3,                 1.2989,                0.77816,                 1.0757,                0.83112,                0.78075,                 0.8531,                0.52488,                 1.3407,                 5.6079,                 1.1874,               0.015988,              0.0081195,              0.0081195
                      4,                 1.2101,                0.72617,                 1.0477,                0.96194,                0.94616,                0.98366,                0.64866,                  1.166,                 1.2371,                 1.0605,              0.0077244,              0.0077244,              0.0077244
                      5,                 1.1339,                0.63758,                  1.015,                0.94128,                0.95187,                0.98356,                0.67307,                 1.1466,                0.61437,                 1.0142,              0.0077244,              0.0077244,              0.0077244
                      6,                 1.0771,                0.58158,                0.97978,                0.95738,                0.96791,                0.98582,                0.66593,                 1.0839,                0.63793,                 0.9984,              0.0066359,              0.0066359,              0.0066359
                      7,                 1.0365,                0.53352,                0.96629,                0.95707,                0.95722,                0.98933,                0.72119,                0.98946,                0.54962,                 0.9561,              0.0055474,              0.0055474,              0.0055474
                      8,                0.99401,                0.50281,                0.95367,                0.99453,                 0.9721,                0.99355,                 0.7669,                0.89342,                0.46161,                0.91853,              0.0044588,              0.0044588,              0.0044588
                      9,                0.94437,                0.46308,                0.93118,                0.98927,                0.98595,                0.99463,                0.77653,                0.93381,                0.41646,                0.92615,              0.0033703,              0.0033703,              0.0033703
                     10,                  0.918,                0.43167,                0.91062,                      1,                 0.9785,                0.99459,                0.76455,                0.90068,                0.41225,                0.90415,              0.0022818,              0.0022818,              0.0022818
