                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3776,                 1.2446,                 1.1167,                0.30775,                0.91979,                0.70665,                0.30384,                 1.5763,                 12.366,                 1.8581,               0.070127,              0.0033414,              0.0033414
                      2,                 1.3602,                0.90886,                 1.1288,                0.79384,                0.70053,                0.81251,                0.39733,                 1.4924,                 1.1479,                 1.2331,               0.039269,              0.0060545,              0.0060545
                      3,                   1.33,                0.88382,                   1.12,                0.72505,                0.70588,                0.77669,                0.46363,                 1.3489,                 1.3796,                 1.2169,              0.0080712,              0.0080712,              0.0080712
                      4,                 1.2302,                0.76357,                 1.0778,                0.86848,                 0.8877,                0.94091,                0.60778,                 1.1657,                 1.1325,                 1.0675,              0.0080712,              0.0080712,              0.0080712
                      5,                 1.1676,                0.69649,                 1.0447,                0.93849,                0.89753,                0.94811,                0.56373,                 1.3021,                0.81763,                 1.1071,              0.0070769,              0.0070769,              0.0070769
                      6,                 1.0896,                0.62098,                 1.0117,                0.96044,                0.96791,                0.98644,                0.68753,                0.98722,                0.58562,                0.97287,              0.0060825,              0.0060825,              0.0060825
                      7,                 1.0381,                 0.5906,                 0.9886,                0.96251,                0.98396,                0.99037,                 0.7199,                0.93086,                0.54464,                0.96151,              0.0050881,              0.0050881,              0.0050881
                      8,                0.99448,                0.51939,                0.95811,                0.98916,                0.97605,                0.99278,                0.75644,                0.85855,                0.46682,                0.90765,              0.0040937,              0.0040937,              0.0040937
                      9,                0.95156,                0.48704,                 0.9359,                0.98291,                 0.9893,                0.99234,                0.76482,                0.82575,                0.41511,                0.90537,              0.0030993,              0.0030993,              0.0030993
                     10,                0.91262,                0.45647,                0.91813,                0.99772,                0.97861,                0.99468,                0.77718,                0.78131,                0.38584,                0.87642,               0.002105,               0.002105,               0.002105
