                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4412,                   1.18,                 1.1655,                 0.2356,                0.90909,                0.61619,                0.29288,                 1.5466,                  14.95,                 1.5518,               0.070656,              0.0031737,              0.0031737
                      2,                  1.459,                0.89912,                 1.2057,                0.56934,                0.87166,                0.83406,                0.51709,                 1.3111,                 8.2652,                 1.1792,               0.040367,              0.0057512,              0.0057512
                      3,                 1.3685,                0.78109,                 1.1633,                0.55585,                0.60901,                0.60151,                0.35728,                 1.3641,                 2.9101,                 1.2356,              0.0094432,               0.007695,               0.007695
                      4,                  1.285,                0.69887,                 1.1264,                0.89989,                0.68449,                0.76769,                 0.4629,                 1.4855,                 1.0643,                 1.2464,              0.0068678,              0.0068678,              0.0068678
                      5,                 1.2427,                0.66303,                 1.1051,                0.97761,                0.93394,                0.98007,                 0.6641,                 1.1336,                0.65597,                 1.0935,              0.0068678,              0.0068678,              0.0068678
                      6,                 1.1473,                0.58943,                 1.0731,                0.97783,                0.94336,                0.98946,                0.67549,                 1.0632,                0.56856,                 1.0425,              0.0059038,              0.0059038,              0.0059038
                      7,                 1.0975,                0.53409,                 1.0388,                0.97956,                0.96257,                0.98546,                0.67234,                  1.079,                0.52439,                 1.0362,              0.0049397,              0.0049397,              0.0049397
                      8,                 1.0767,                0.50269,                 1.0168,                0.98312,                 0.9893,                0.99468,                0.74943,                0.93802,                0.45175,                0.97436,              0.0039757,              0.0039757,              0.0039757
                      9,                 0.9889,                0.46252,                0.98372,                0.98932,                0.99057,                0.99484,                0.77446,                0.86173,                0.39542,                0.94336,              0.0030116,              0.0030116,              0.0030116
                     10,                0.96283,                0.43283,                0.97779,                0.99465,                0.99358,                0.99489,                0.78099,                0.82185,                0.38054,                0.93112,              0.0020476,              0.0020476,              0.0020476
