                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4736,                 1.1918,                  1.144,                0.39756,                 0.8877,                0.74905,                0.34991,                 1.6147,                 6.0342,                 1.3706,                0.07055,              0.0031816,              0.0031816
                      2,                 1.4117,                0.88676,                 1.1661,                 0.5642,                0.70588,                0.64492,                0.34391,                 1.4535,                 7.2079,                 1.2996,               0.040151,              0.0057655,              0.0057655
                      3,                 1.3277,                0.77114,                 1.1232,                0.86139,                0.93583,                0.95081,                0.58799,                 1.2021,                 3.4242,                 1.1124,              0.0091176,              0.0077141,              0.0077141
                      4,                 1.2386,                0.67022,                 1.0893,                 0.9391,                0.93583,                0.96021,                0.63183,                 1.1872,                0.76453,                 1.0722,              0.0068609,              0.0068609,              0.0068609
                      5,                 1.2346,                0.65349,                 1.0648,                 0.9528,                0.97161,                0.98565,                0.65478,                 1.1048,                0.70367,                  1.053,              0.0068609,              0.0068609,              0.0068609
                      6,                 1.1328,                0.58358,                 1.0391,                0.97402,                0.97326,                0.98967,                0.69309,                 1.0262,                0.53071,                0.99763,              0.0058979,              0.0058979,              0.0058979
                      7,                 1.1182,                0.54562,                 1.0239,                0.98383,                0.97639,                0.98828,                0.74632,                0.95015,                0.48605,                0.98458,              0.0049348,              0.0049348,              0.0049348
                      8,                 1.0401,                0.48266,                0.99111,                0.99477,                0.95187,                0.98973,                0.76587,                0.92323,                0.47242,                0.95336,              0.0039718,              0.0039718,              0.0039718
                      9,                0.98266,                0.45774,                 0.9686,                0.99687,                0.97861,                0.99458,                0.76455,                0.89219,                0.41261,                0.94447,              0.0030087,              0.0030087,              0.0030087
                     10,                0.95781,                0.43351,                0.96701,                0.98934,                0.99298,                0.99484,                0.78088,                0.83508,                0.38586,                 0.9257,              0.0020457,              0.0020457,              0.0020457
