                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4585,                 1.2582,                 1.1753,                0.06577,                0.93583,                0.57262,                0.22283,                 1.5674,                 45.666,                 1.8725,               0.070978,              0.0034956,              0.0034956
                      2,                 1.4467,                0.94327,                 1.2148,                0.83889,                0.72395,                0.85563,                0.52286,                 1.3559,                 1.2694,                 1.3215,               0.040949,               0.006334,               0.006334
                      3,                 1.3455,                0.82359,                 1.1684,                0.87523,                0.89305,                0.93548,                0.59663,                 1.2436,                 3.7508,                 1.2057,               0.010222,              0.0084737,              0.0084737
                      4,                 1.2542,                0.71004,                 1.1272,                0.91187,                0.88532,                0.93697,                0.59109,                 1.1906,                0.73354,                 1.1226,              0.0075617,              0.0075617,              0.0075617
                      5,                  1.215,                0.67551,                 1.0889,                0.95479,                0.90354,                0.96571,                0.65743,                 1.1137,                0.66153,                 1.0559,              0.0075617,              0.0075617,              0.0075617
                      6,                 1.1552,                0.61957,                 1.0655,                0.95495,                0.90694,                0.93339,                0.65796,                 1.0996,                0.69474,                  1.107,               0.006499,               0.006499,               0.006499
                      7,                 1.0975,                0.59767,                 1.0419,                0.97856,                 0.9893,                 0.9917,                0.71631,                0.98433,                0.52721,                0.99788,              0.0054362,              0.0054362,              0.0054362
                      8,                 1.0364,                0.53497,                 1.0077,                0.99642,                0.98396,                0.99484,                0.76758,                0.89875,                0.45813,                0.96321,              0.0043735,              0.0043735,              0.0043735
                      9,                0.98901,                0.48512,                0.97963,                0.99822,                0.97861,                0.99444,                0.77647,                0.84084,                 0.4187,                0.94044,              0.0033107,              0.0033107,              0.0033107
                     10,                0.95891,                0.45746,                0.96805,                0.99463,                0.99022,                0.99495,                0.79033,                 0.8317,                0.40003,                0.94402,               0.002248,               0.002248,               0.002248
