                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5835,                 1.1416,                  1.205,                      1,                0.08021,                0.76442,                0.42265,                 1.6048,                 35.141,                 1.3448,               0.069207,              0.0035244,              0.0035244
                      2,                 1.5068,                0.75667,                 1.1777,                0.68791,                0.93121,                0.88526,                  0.501,                 1.4185,                 4.0395,                 1.2968,               0.037381,              0.0063846,              0.0063846
                      3,                 1.3501,                 0.6733,                 1.1281,                0.76636,                0.75401,                0.81929,                0.44838,                  1.753,                 0.9906,                 1.3732,               0.008235,               0.008235,               0.008235
                      4,                 1.3392,                0.63457,                 1.1183,                0.94337,                0.92513,                0.96146,                0.65227,                 1.2099,                 1.0813,                 1.1028,               0.008235,               0.008235,               0.008235
                      5,                 1.2697,                0.57603,                 1.0866,                0.95601,                0.92968,                 0.9805,                0.69647,                 1.1429,                0.56329,                 1.0588,              0.0072174,              0.0072174,              0.0072174
                      6,                  1.225,                0.54531,                 1.0665,                0.97001,                0.97326,                0.99293,                0.70755,                 1.1382,                0.51872,                 1.0057,              0.0061999,              0.0061999,              0.0061999
                      7,                 1.1811,                0.51062,                 1.0406,                0.98728,                 0.9893,                0.99452,                0.73496,                 1.0328,                0.44409,                0.99115,              0.0051824,              0.0051824,              0.0051824
                      8,                 1.1542,                 0.4932,                 1.0157,                0.98388,                0.97908,                0.99383,                0.73563,                 1.0558,                0.46929,                0.97339,              0.0041649,              0.0041649,              0.0041649
                      9,                 1.1444,                0.47932,                 1.0152,                 0.9839,                0.98036,                0.99355,                0.75212,                0.96938,                0.45674,                 0.9652,              0.0031474,              0.0031474,              0.0031474
                     10,                 1.0735,                0.45034,                0.99296,                 0.9971,                0.98396,                0.99474,                0.75415,                 1.0208,                0.39234,                0.96244,              0.0021298,              0.0021298,              0.0021298
