                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.377,                 1.2423,                 1.4381,                 0.2829,                0.95187,                0.69618,                 0.3571,                 1.3978,                 8.7921,                 1.7319,                0.06725,              0.0028826,              0.0028826
                      2,                 1.3186,                0.84523,                 1.4561,                0.75349,                0.83957,                0.85174,                0.49647,                 1.2347,                 1.7967,                 1.5318,               0.033575,              0.0052228,              0.0052228
                      3,                 1.2227,                0.75638,                 1.3796,                0.84253,                0.90909,                  0.928,                0.61959,                 0.9895,                  3.663,                 1.2799,              0.0064892,              0.0064892,              0.0064892
                      4,                 1.1933,                0.72667,                 1.3526,                0.94488,                0.91667,                0.97117,                0.59776,                 1.1862,                 1.1082,                 1.3451,              0.0064892,              0.0064892,              0.0064892
                      5,                 1.1222,                0.65992,                 1.3083,                0.96328,                0.98198,                0.98981,                0.69804,                0.99742,                0.59289,                 1.2453,              0.0056887,              0.0056887,              0.0056887
                      6,                 1.0602,                0.60372,                  1.287,                0.94737,                0.96255,                0.99063,                0.62039,                 1.0896,                 0.6657,                 1.2998,              0.0048883,              0.0048883,              0.0048883
                      7,                 1.0727,                0.58836,                 1.2938,                0.98531,                0.97326,                 0.9939,                0.74309,                0.88665,                0.55573,                 1.2066,              0.0040879,              0.0040879,              0.0040879
                      8,                 1.0157,                0.56387,                 1.2488,                0.96987,                0.97861,                0.99182,                0.74521,                0.84785,                0.50385,                 1.1922,              0.0032875,              0.0032875,              0.0032875
                      9,                0.97061,                0.52212,                 1.2201,                0.96319,                 0.9893,                0.99298,                0.75152,                0.84471,                0.49196,                 1.1656,               0.002487,               0.002487,               0.002487
                     10,                0.96587,                0.51561,                 1.2223,                0.98215,                 0.9893,                0.99457,                0.71926,                0.92494,                0.47356,                 1.1781,              0.0016866,              0.0016866,              0.0016866
