                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4406,                 1.1599,                 1.3521,                    0.7,                0.03743,                0.16045,                0.05809,                 1.8784,                 126.68,                 2.1673,               0.067565,              0.0034722,              0.0034722
                      2,                 1.4707,                0.88362,                 1.4035,                0.81249,                0.78781,                0.88251,                0.50439,                 1.4379,                 1.6035,                 1.5251,               0.034091,               0.006292,               0.006292
                      3,                 1.3294,                0.73208,                  1.323,                0.52626,                0.75401,                0.64846,                0.41157,                 1.2182,                 6.7599,                 1.2511,              0.0077591,              0.0077591,              0.0077591
                      4,                 1.2498,                0.67067,                 1.2719,                0.85067,                0.85027,                0.93315,                0.53998,                 1.2677,                 1.7307,                  1.277,              0.0077591,              0.0077591,              0.0077591
                      5,                 1.1883,                0.62437,                 1.2147,                 0.9182,                0.86631,                0.94573,                0.60342,                 1.1409,                0.81299,                 1.2287,              0.0068037,              0.0068037,              0.0068037
                      6,                 1.1229,                0.55699,                 1.2003,                 0.9775,                0.92934,                0.98254,                 0.6924,                0.97601,                0.54517,                  1.163,              0.0058482,              0.0058482,              0.0058482
                      7,                 1.0789,                0.50949,                 1.1735,                0.98568,                0.96791,                0.98627,                0.73848,                0.88351,                0.42297,                 1.0979,              0.0048928,              0.0048928,              0.0048928
                      8,                 1.0252,                 0.4591,                 1.1335,                0.99555,                0.97326,                0.99219,                0.73784,                0.95554,                0.41927,                 1.1247,              0.0039373,              0.0039373,              0.0039373
                      9,                 1.0094,                  0.441,                 1.1235,                0.98392,                0.98192,                0.99296,                0.74962,                0.84598,                0.39965,                 1.0656,              0.0029819,              0.0029819,              0.0029819
                     10,                0.97253,                0.41438,                 1.1063,                      1,                0.97835,                0.99453,                0.77361,                0.82189,                0.36469,                 1.0533,              0.0020264,              0.0020264,              0.0020264
