                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2997,                 1.1271,                 1.3377,                0.05377,                0.96257,                0.41874,                0.15773,                 1.4581,                 52.535,                 1.7741,               0.066049,              0.0033988,              0.0033988
                      2,                 1.2671,                0.77305,                  1.334,                0.73887,                0.87761,                0.89068,                0.52804,                 1.1927,                 4.5055,                 1.3997,               0.031057,              0.0061576,              0.0061576
                      3,                  1.185,                0.70066,                 1.3038,                0.97191,                0.94652,                0.97836,                0.59534,                 1.1125,                  1.453,                 1.3141,              0.0072983,              0.0072983,              0.0072983
                      4,                 1.1335,                0.64415,                 1.2482,                0.96847,                0.94118,                0.98406,                0.64434,                 1.1609,                0.95096,                 1.3031,              0.0072983,              0.0072983,              0.0072983
                      5,                 1.0886,                0.59437,                 1.2307,                0.96814,                0.95722,                0.99002,                0.70668,                0.94159,                0.74594,                 1.1526,              0.0063975,              0.0063975,              0.0063975
                      6,                 1.0075,                0.55492,                 1.1863,                0.97904,                0.99892,                 0.9916,                 0.7476,                0.85437,                0.48316,                 1.1281,              0.0054966,              0.0054966,              0.0054966
                      7,                0.95724,                0.51197,                 1.1617,                0.97268,                 0.9893,                0.98705,                0.73274,                0.83446,                0.50351,                 1.1084,              0.0045958,              0.0045958,              0.0045958
                      8,                0.92272,                0.49283,                 1.1462,                 0.9822,                0.97326,                0.99014,                0.74745,                0.79795,                0.42834,                 1.0892,              0.0036949,              0.0036949,              0.0036949
                      9,                0.90696,                0.45702,                 1.1218,                0.98923,                0.98245,                0.99409,                0.76935,                0.81089,                0.40742,                 1.0821,              0.0027941,              0.0027941,              0.0027941
                     10,                0.88015,                0.43892,                 1.1003,                0.98933,                0.99141,                0.99323,                0.76742,                 0.8092,                0.39147,                  1.079,              0.0018932,              0.0018932,              0.0018932
