                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4419,                 1.1941,                 1.1578,                0.21059,                0.82353,                0.46388,                0.25688,                 1.4514,                 21.478,                 1.4138,               0.071208,              0.0032774,              0.0032774
                      2,                 1.4285,                0.86308,                 1.1831,                0.75746,                 0.7754,                0.80083,                0.38485,                 1.5956,                  1.738,                 1.5731,               0.041456,              0.0059392,              0.0059392
                      3,                 1.3278,                0.78065,                 1.1636,                0.90199,                0.86631,                0.94337,                0.60677,                  1.253,                 2.2463,                 1.2306,                0.01105,              0.0079466,              0.0079466
                      4,                 1.2564,                0.68678,                 1.1123,                0.91362,                0.93048,                0.96941,                0.62283,                 1.1564,                 1.2349,                  1.113,              0.0071916,              0.0071916,              0.0071916
                      5,                 1.2106,                0.67483,                 1.0891,                0.94719,                0.96257,                0.98283,                0.63397,                 1.1396,                 1.0049,                 1.0843,              0.0071916,              0.0071916,              0.0071916
                      6,                 1.1419,                0.60351,                 1.0529,                0.98297,                0.97326,                0.98622,                  0.673,                 1.0854,                0.54455,                 1.0282,              0.0061822,              0.0061822,              0.0061822
                      7,                 1.0943,                 0.5401,                 1.0201,                 0.9617,                0.97326,                0.99066,                0.71424,                0.99108,                 0.5174,                0.99065,              0.0051727,              0.0051727,              0.0051727
                      8,                 1.0626,                0.50085,                 1.0074,                0.99472,                 0.9893,                0.99495,                 0.7368,                0.97875,                0.46341,                0.97937,              0.0041632,              0.0041632,              0.0041632
                      9,                 1.0195,                0.47616,                0.97315,                0.98939,                      1,                0.99484,                0.77407,                 0.8757,                0.40874,                0.94336,              0.0031538,              0.0031538,              0.0031538
                     10,                0.97238,                0.44385,                0.96731,                 0.9876,                0.99465,                0.99468,                0.76971,                0.85877,                 0.3873,                0.93934,              0.0021443,              0.0021443,              0.0021443
