                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0518,                 1.0819,                 1.3029,                0.29147,                 0.3262,                0.25032,                0.08447,                 1.7035,                 8.8709,                 2.3727,               0.077806,              0.0030781,              0.0030781
                      2,                 1.0669,                0.78506,                 1.3123,                0.65595,                0.79524,                0.75403,                0.42962,                  1.097,                 1.5748,                 1.4877,               0.054761,              0.0055764,              0.0055764
                      3,                0.96534,                0.68186,                 1.2745,                0.83348,                0.82353,                0.88759,                0.54908,                  0.943,                 1.9641,                 1.2728,                 0.0311,              0.0074586,              0.0074586
                      4,                0.96189,                0.65105,                 1.2552,                0.88678,                0.87958,                0.94081,                0.55705,                0.95335,                0.92424,                 1.2402,              0.0085618,              0.0085618,              0.0085618
                      5,                 0.8778,                 0.5815,                 1.1826,                0.93697,                0.95395,                0.98151,                 0.6923,                0.75902,                0.75872,                 1.1521,              0.0085618,              0.0085618,              0.0085618
                      6,                0.85412,                0.55222,                 1.1879,                0.96202,                0.94819,                0.98152,                0.68371,                0.81595,                0.56692,                 1.1539,              0.0073558,              0.0073558,              0.0073558
                      7,                0.81833,                0.51202,                 1.1611,                0.96733,                0.99465,                0.98744,                0.71488,                0.72002,                0.45412,                 1.1018,              0.0061497,              0.0061497,              0.0061497
                      8,                 0.7857,                0.46194,                 1.1433,                0.98407,                0.99114,                0.99425,                 0.7196,                0.72235,                0.42478,                 1.1024,              0.0049437,              0.0049437,              0.0049437
                      9,                0.73782,                0.43319,                 1.1095,                0.99456,                0.97768,                0.99367,                0.75686,                0.63937,                0.37004,                  1.043,              0.0037376,              0.0037376,              0.0037376
                     10,                0.69606,                0.40296,                 1.0766,                0.99465,                0.99378,                0.99495,                0.77562,                0.62997,                 0.3718,                 1.0311,              0.0025316,              0.0025316,              0.0025316
